SpecID,_SpecID
CNC_Diptera707,CNC_Diptera707
CNC_Diptera70942,CNC_Diptera70942
CNC_Diptera70943,CNC_Diptera70943
CNC_Diptera712,CNC_Diptera712
CNC_Diptera715,CNC_Diptera715
CNC_Diptera719,CNC_Diptera719
CNC_Diptera7225,CNC_Diptera7225
CNC_Diptera7226,CNC_Diptera7226
CNC_Diptera7227,CNC_Diptera7227
CNC_Diptera723,CNC_Diptera723
CNC_Diptera72489,CNC_Diptera72489
CNC_Diptera72490,CNC_Diptera72490
CNC_Diptera72494,CNC_Diptera72494
CNC_Diptera72499,CNC_Diptera72499
CNC_Diptera725,CNC_Diptera725
CNC_Diptera72500,CNC_Diptera72500
CNC_Diptera72505,CNC_Diptera72505
CNC_Diptera72511,CNC_Diptera72511
CNC_Diptera72513,CNC_Diptera72513
CNC_Diptera72516,CNC_Diptera72516
CNC_Diptera72517,CNC_Diptera72517
CNC_Diptera72520,CNC_Diptera72520
CNC_Diptera72527,CNC_Diptera72527
CNC_Diptera72528,CNC_Diptera72528
CNC_Diptera72548,CNC_Diptera72548
CNC_Diptera72576,CNC_Diptera72576
CNC_Diptera72991,CNC_Diptera72991
CNC_Diptera73029,CNC_Diptera73029
CNC_Diptera73059,CNC_Diptera73059
CNC_Diptera73060,CNC_Diptera73060
CNC_Diptera73061,CNC_Diptera73061
CNC_Diptera73062,CNC_Diptera73062
CNC_Diptera73063,CNC_Diptera73063
CNC_Diptera73070,CNC_Diptera73070
CNC_Diptera73073,CNC_Diptera73073
CNC_Diptera73075,CNC_Diptera73075
CNC_Diptera73081,CNC_Diptera73081
CNC_Diptera73088,CNC_Diptera73088
CNC_Diptera73090,CNC_Diptera73090
CNC_Diptera73097,CNC_Diptera73097
CNC_Diptera73103,CNC_Diptera73103
CNC_Diptera73158,CNC_Diptera73158
CNC_Diptera73166,CNC_Diptera73166
CNC_Diptera73169,CNC_Diptera73169
CNC_Diptera73171,CNC_Diptera73171
CNC_Diptera73174,CNC_Diptera73174
CNC_Diptera73475,CNC_Diptera73475
CNC_Diptera73491,CNC_Diptera73491
CNC_Diptera73492,CNC_Diptera73492
CNC_Diptera73514,CNC_Diptera73514
CNC_Diptera73515,CNC_Diptera73515
CNC_Diptera73516,CNC_Diptera73516
CNC_Diptera73521,CNC_Diptera73521
CNC_Diptera73526,CNC_Diptera73526
CNC_Diptera73527,CNC_Diptera73527
CNC_Diptera73528,CNC_Diptera73528
CNC_Diptera73572,CNC_Diptera73572
CNC_Diptera73573,CNC_Diptera73573
CNC_Diptera73577,CNC_Diptera73577
CNC_Diptera73578,CNC_Diptera73578
CNC_Diptera73579,CNC_Diptera73579
CNC_Diptera73605,CNC_Diptera73605
CNC_Diptera73606,CNC_Diptera73606
CNC_Diptera73607,CNC_Diptera73607
CNC_Diptera73608,CNC_Diptera73608
CNC_Diptera73639,CNC_Diptera73639
CNC_Diptera73640,CNC_Diptera73640
CNC_Diptera73655,CNC_Diptera73655
CNC_Diptera73657,CNC_Diptera73657
CNC_Diptera73658,CNC_Diptera73658
CNC_Diptera73708,CNC_Diptera73708
CNC_Diptera73709,CNC_Diptera73709
CNC_Diptera73712,CNC_Diptera73712
CNC_Diptera73724,CNC_Diptera73724
CNC_Diptera73729,CNC_Diptera73729
CNC_Diptera73804,CNC_Diptera73804
CNC_Diptera73806,CNC_Diptera73806
CNC_Diptera73817,CNC_Diptera73817
CNC_Diptera73822,CNC_Diptera73822
CNC_Diptera73824,CNC_Diptera73824
CNC_Diptera74086,CNC_Diptera74086
CNC_Diptera74087,CNC_Diptera74087
CNC_Diptera74089,CNC_Diptera74089
CNC_Diptera74090,CNC_Diptera74090
CNC_Diptera74095,CNC_Diptera74095
CNC_Diptera741,CNC_Diptera741
CNC_Diptera74215,CNC_Diptera74215
CNC_Diptera74219,CNC_Diptera74219
CNC_Diptera74221,CNC_Diptera74221
CNC_Diptera74246,CNC_Diptera74246
CNC_Diptera746,CNC_Diptera746
CNC_Diptera747,CNC_Diptera747
CNC_Diptera74700,CNC_Diptera74700
CNC_Diptera74710,CNC_Diptera74710
CNC_Diptera74716,CNC_Diptera74716
CNC_Diptera75269,CNC_Diptera75269
CNC_Diptera75283,CNC_Diptera75283
CNC_Diptera75284,CNC_Diptera75284
CNC_Diptera75285,CNC_Diptera75285
CNC_Diptera75287,CNC_Diptera75287
CNC_Diptera75400,CNC_Diptera75400
CNC_Diptera75415,CNC_Diptera75415
CNC_Diptera75428,CNC_Diptera75428
CNC_Diptera75430,CNC_Diptera75430
CNC_Diptera75573,CNC_Diptera75573
CNC_Diptera75607,CNC_Diptera75607
CNC_Diptera75609,CNC_Diptera75609
CNC_Diptera75610,CNC_Diptera75610
CNC_Diptera75611,CNC_Diptera75611
CNC_Diptera75612,CNC_Diptera75612
CNC_Diptera75640,CNC_Diptera75640
CNC_Diptera75642,CNC_Diptera75642
CNC_Diptera75674,CNC_Diptera75674
CNC_Diptera75675,CNC_Diptera75675
CNC_Diptera75676,CNC_Diptera75676
CNC_Diptera75968,CNC_Diptera75968
CNC_Diptera76123,CNC_Diptera76123
CNC_Diptera76124,CNC_Diptera76124
CNC_Diptera76128,CNC_Diptera76128
CNC_Diptera76129,CNC_Diptera76129
CNC_Diptera76130,CNC_Diptera76130
CNC_Diptera76214,CNC_Diptera76214
CNC_Diptera76330,CNC_Diptera76330
CNC_Diptera76751,CNC_Diptera76751
CNC_Diptera76774,CNC_Diptera76774
CNC_Diptera76790,CNC_Diptera76790
CNC_Diptera76791,CNC_Diptera76791
CNC_Diptera77049,CNC_Diptera77049
CNC_Diptera77052,CNC_Diptera77052
CNC_Diptera77058,CNC_Diptera77058
CNC_Diptera77059,CNC_Diptera77059
CNC_Diptera77060,CNC_Diptera77060
CNC_Diptera7776,CNC_Diptera7776
CNC_Diptera779,CNC_Diptera779
CNC_Diptera7799,CNC_Diptera7799
CNC_Diptera78631,CNC_Diptera78631
CNC_Diptera78663,CNC_Diptera78663
CNC_Diptera78687,CNC_Diptera78687
CNC_Diptera78728,CNC_Diptera78728
CNC_Diptera78729,CNC_Diptera78729
CNC_Diptera7876,CNC_Diptera7876
CNC_Diptera78765,CNC_Diptera78765
CNC_Diptera78841,CNC_Diptera78841
CNC_Diptera78966,CNC_Diptera78966
CNC_Diptera78981,CNC_Diptera78981
CNC_Diptera78987,CNC_Diptera78987
CNC_Diptera7902,CNC_Diptera7902
CNC_Diptera7956,CNC_Diptera7956
CNC_Diptera79706,CNC_Diptera79706
CNC_Diptera79707,CNC_Diptera79707
CNC_Diptera79709,CNC_Diptera79709
CNC_Diptera79710,CNC_Diptera79710
CNC_Diptera79732,CNC_Diptera79732
CNC_Diptera79863,CNC_Diptera79863
CNC_Diptera80056,CNC_Diptera80056
CNC_Diptera80057,CNC_Diptera80057
CNC_Diptera80058,CNC_Diptera80058
CNC_Diptera80059,CNC_Diptera80059
